index,disease_name,description,Possible Steps,image_url
0,Apple : Scab,"B?nh gh? táo là b?nh ph? bi?n nh?t c?a cây táo và cua ? Minnesota.
B?nh gh? là do m?t lo?i n?m lây nhi?m c? lá và qu?.
Trái cây gh? th??ng không phù h?p ?? ?n.
Lá b? nhi?m b?nh có ??m màu xanh ô liu ??n nâu.
Lá có nhi?u ??m lá chuy?n sang màu vàng và r?ng s?m.
M?t lá làm suy y?u cây khi nó x?y ra nhi?u n?m liên ti?p.
Tr?ng các gi?ng kháng b?nh là cách t?t nh?t ?? ki?m soát b?nh gh?.
","Choose resistant varieties when possible.
Rake under trees and destroy infected leaves to reduce the number of fungal spores available to start the disease cycle over again next spring.
Water in the evening or early morning hours (avoid overhead irrigation) to give the leaves time to dry out before infection can occur.
Spread a 3- to 6-inch layer of compost under trees, keeping it away from the trunk, to cover soil and prevent splash dispersal of the fungal spores.
For best control, spray liquid copper soap early, two weeks before symptoms normally appear. Alternatively, begin applications when disease first appears, and repeat at 7 to 10 day intervals up to blossom drop.",https://extension.umn.edu/sites/extension.umn.edu/files/apple-scab-1.jpg
1,Apple : Black Rot,"Các tri?u ch?ng lá ??u tiên x?y ra vào ??u mùa xuân khi lá ?ang m? ra.

Chúng xu?t hi?n d??i d?ng các ??m nh?, màu tím ? m?t trên c?a lá lan r?ng thành các t?n th??ng tròn có ???ng kính t? 1/8 ??n 1/4 inch (3-6 mm).

Rìa c?a các t?n th??ng v?n có màu tím, trong khi trung tâm chuy?n sang màu nâu sang màu nâu. Trong m?t vài tu?n, s? m? r?ng th? c?p c?a các ??m lá này x?y ra.

Lá b? nhi?m b?nh n?ng tr? nên úa vàng và r?ng lá x?y ra.

Khi khu v?c m?c nát m? r?ng, m?t lo?t các d?i ??ng tâm có chi?u r?ng ??ng ??u hình thành xen k? màu t? ?en sang nâu. Th?t c?a khu v?c m?c nát v?n c?ng và có da. Pycnidia ?en th??ng ???c nhìn th?y trên b? m?t c?a qu? b? nhi?m b?nh","Remove the cankers by pruning at least 15 inches below the end and burn or bury them. Also take preventative care with new season prunings and burn them, too.You are better off pruning during the dormant season. This will minimize the odds that fire blight will infect your tree and produce dead tissue that can easily be infected by Botryosphaeria.You should also take precautions if the bark is damaged by hail, or branches break during a windstorm. Using a copper-based fungicide will protect against both black rot and fire blight.",http://www.omafra.gov.on.ca/english/crops/facts/blackrotf1.jpg
2,Apple : Cedar rust,"B?nh g? s?t táo tuy?t tùng (Gymnosporangium juniperi-virginianae) là m?t b?nh n?m ?òi h?i cây bách xù ph?i hoàn thành vòng ??i hai n?m ph?c t?p c?a nó. Các bào t? ?an xen nh? m?t túi m?t màu nâu ?? trên cành cây non c?a các loài cây bách xù khác nhau. Vào ??u mùa xuân, trong th?i ti?t ?m ??t, nh?ng túi m?t này ph?ng lên và nh?ng kh?i bào t? màu cam sáng b? gió th?i, n?i chúng lây nhi?m vào nh?ng cây táo và táo cua nh?y c?m. Các bào t? phát tri?n trên nh?ng cây này s? ch? lây nhi?m cho cây bách xù vào n?m sau. T? n?m này sang n?m khác, b?nh ph?i truy?n t? cây bách xù sang táo sang cây bách xù m?t l?n n?a; Nó không th? lây lan gi?a các cây táo.","Choose resistant cultivars when available.
Rake up and dispose of fallen leaves and other debris from under trees.
Remove galls from infected junipers. In some cases, juniper plants should be removed entirely.
Apply preventative, disease-fighting fungicides labeled for use on apples weekly, starting with bud break, to protect trees from spores being released by the juniper host. This occurs only once per year, so additional applications after this springtime spread are not necessary.
On juniper, rust can be controlled by spraying plants with a copper solution (0.5 to 2.0 oz/ gallon of water) at least four times between late August and late October.
Safely treat most fungal and bacterial diseases with SERENADE Garden. This broad spectrum bio-fungicide uses a patented strain of Bacillus subtilis that is registered for organic use. Best of all, SERENADE is completely non-toxic to honey bees and beneficial insects.",https://www.planetnatural.com/wp-content/uploads/2012/12/apple-rust.jpg
3,Apple : Healthy,"Nh? v?i h?u h?t các lo?i trái cây, táo s?n xu?t t?t nh?t khi ???c tr?ng trong ánh n?ng m?t tr?i ??y ??, có ngh?a là sáu gi? tr? lên c?a M?t tr?i mùa hè tr?c ti?p hàng ngày. Ti?p xúc t?t nh?t cho táo là phía b?c c?a m?t ngôi nhà, ???ng cây, ho?c m?c lên ch? không ph?i là phía nam. Cây táo c?n ??t thoát n??c t?t, nh?ng có th? gi? ???c ?? ?m.","Apples Are Nutritious. 
Apples May Be Good for Weight Loss.
Apples May Be Good for Your Heart. 
They're Linked to a Lower Risk of Diabetes. 
They May Have Prebiotic Effects and Promote Good Gut Bacteria.
Substances in Apples May Help Prevent Cancer.",https://previews.123rf.com/images/msnobody/msnobody1508/msnobody150800002/43698436-red-apple-on-a-branch-of-an-apple-tree-on-a-sunny-day-organic-farmingagriculture-fresh-healthy-natur.jpg
4,Background Without Leaves,Không có lá trong hình ?nh ?ã cho,please reupload image with leaf,https://cdn.onlinewebfonts.com/svg/img_332817.png
5,Blueberry : Healthy,"Qu? vi?t qu?t có l??ng calo th?p nh?ng giàu ch?t dinh d??ng. ...

Qu? vi?t qu?t là vua c?a th?c ph?m ch?ng oxy hóa. ...

Qu? vi?t qu?t làm gi?m t?n th??ng DNA, có th? giúp b?o v? ch?ng lão hóa và ung th?. ...

Qu? vi?t qu?t b?o v? cholesterol trong máu c?a b?n kh?i b? h? h?i. ...

Qu? vi?t qu?t có th? làm gi?m huy?t áp.","Deep, low pH mulch like peat moss, pine needles or well aged sawdust conserves water and minimizes soil water fluctuations. Water blueberry plants during the day. Keep the soil moist but not soggy. Give them at least 1"" per week during growing season and up to 4"" per week during fruit ripening.The blueberry is a shallow-rooted plant. Therefore, it requires a soil that holds moisture, but also drains well and doesn’t stay wet. Don’t plant blueberries in sites that have heavy, clayey soils that stay wet.",https://image.shutterstock.com/image-photo/blueberry-leaf-collection-isolated-on-260nw-308491814.jpg
6,Cherry : Powdery Mildew,"Các tri?u ch?ng ban ??u, th??ng x?y ra t? 7 ??n 10 ngày sau khi b?t ??u l?n t??i ??u tiên, là các m?ng màu tr?ng hình tròn nh?t trên lá non, m?n c?m (lá m?i m? ra và lá m? r?ng màu xanh nh?t). Lá già phát tri?n kh? n?ng kháng b?nh liên quan ??n tu?i (ontogenic) ??i v?i b?nh ph?n tr?ng và có kh? n?ng ch?ng nhi?m trùng t? nhiên cao h?n lá non. Tìm ki?m các b?nh nhi?m trùng lá s?m trên r? hút, bên trong tán cây ho?c ?áy qu?n c?a cây n?i có ?? ?m cao. Trái ng??c v?i các lo?i n?m khác, ph?n tr?ng không c?n n??c t? do ?? n?y m?m nh?ng s? n?y m?m và phát tri?n c?a n?m ???c ?a chu?ng b?i ?? ?m cao. B?nh có nhi?u kh? n?ng b?t ??u ? m?t d??i (abaxial) c?a lá nh?ng s? x?y ra ? c? hai bên ? giai ?o?n sau. Khi mùa ti?n tri?n và nhi?m trùng lây lan qua gió, lá có th? b? bi?n d?ng, cu?n tròn lên. Nhi?m trùng n?ng có th? khi?n lá nh?n l?i và xo?n. Lá m?i phát tri?n trên ch?i m?i tr? nên nh? d?n, th??ng nh?t nh?t và có th? b? bi?n d?ng.","Disinfect the cutting edges, then prune out and discard the diseased portions of the plant immediately. At the same time, apply fungicides to protect the remaining leaves on the fruit tree. You'll need to repeat the fungicide applications according to label instructions to protect the trees over the entire season.",http://treefruit.wsu.edu/wp-content/uploads/2017/05/Fig1.png
7,Cherry : Healthy,"Không có s? khác bi?t trong vi?c ch?m sóc gi?a anh ?ào chua và ng?t.

Áp d?ng l?p ph? ?? gi? ?? ?m.

Treo l??i trên cây ?? b?o v? trái cây kh?i chim.

T??i n??c th??ng xuyên ? nh?ng n?i khô ráo.

T?a th?a qu? là không c?n thi?t cho cây anh ?ào, vì chúng th??ng m?ng t? nhiên vào ??u mùa hè.","Packed with nutrients.
Rich in antioxidants and anti-inflammatory compounds.
Can boost exercise recovery.
May benefit heart health.
May improve symptoms of arthritis and gout.
May improve sleep quality.
Easy to add to your diet.",https://previews.123rf.com/images/annafrby/annafrby1907/annafrby190700078/127086189-cherry-on-branch-with-green-leaf-healthy-food-fresh-fruit-two-ripe-berries-of-a-cherry-on-a-branch-l.jpg
8,Corn : Cercospora Leaf Spot | Gray Leaf Spot,"B?nh ??m lá xám trên ngô, do n?m Cercospora zeae-maydis gây ra, là m?t b?nh lâu n?m và gây h?i kinh t? ? Hoa K?. K? t? gi?a nh?ng n?m 1990, c?n b?nh này ?ã t?ng t?m quan tr?ng ? Indiana, và bây gi? là m?t trong nh?ng b?nh trên lá quan tr?ng nh?t c?a ngô trong ti?u bang. B?nh ??m lá xám là do n?m Pyricularia grisea gây ra, còn ???c g?i là Magnaporthe grisea. Th?i k? m?a ?m áp th??ng xuyên ph? bi?n ? Florida t?o ?i?u ki?n thu?n l?i cho b?nh n?m này. Lo?i n?m này làm ch?m s? phát tri?n, làm m?ng các giá ?? ???c thi?t l?p và có th? gi?t ch?t các khu v?c r?ng l?n c?a St.","Irrigate deeply, but infrequently.
Avoid using post-emergent weed killers on the lawn while the disease is active.
Avoid medium to high nitrogen fertilizer levels.
Improve air circulation and light level on lawn.
Mow at the proper height and only mow when the grass is dry.",https://upload.wikimedia.org/wikipedia/commons/thumb/1/12/Gray_leaf_spot_Cercospora_zeae-maydis_5465607.png/330px-Gray_leaf_spot_Cercospora_zeae-maydis_5465607.png
9,Corn : Common Rust,"M?c dù m?t vài m?n m? r? sét luôn có th? ???c tìm th?y trên các cánh ??ng ngô trong su?t mùa sinh tr??ng, các tri?u ch?ng th??ng không xu?t hi?n cho ??n sau khi tua. Chúng có th? d? dàng nh?n ra và phân bi?t v?i các b?nh khác b?ng s? phát tri?n c?a m?n m? s?m màu, màu nâu ?? (uredinia) n?m r?i rác trên c? b? m?t trên và d??i c?a lá ngô. Nh?ng m?n m? này có th? xu?t hi?n trên b?t k? ph?n nào trên m?t ??t c?a cây, nh?ng có nhi?u nh?t trên lá. M?n m? xu?t hi?n hình b?u d?c ?? kéo dài v? hình d?ng, th??ng nh?, dài d??i 1/4 inch và ???c bao quanh b?i l?p bi?u bì lá, n?i nó ?ã xuyên qua.","To reduce the incidence of corn rust, plant only corn that has resistance to the fungus. Resistance is either in the form of race-specific resistance or partial rust resistance. In either case, no sweet corn is completely resistant. If the corn begins to show symptoms of infection, immediately spray with a fungicide.",https://ohioline.osu.edu/sites/ohioline/files/imce/Plant_Pathology/PLNTPTH-CER-02_Figure_1.png
